user_id,step,page,entry_point,drop_off_point,visitor_type
U001,1,Cart,Cart,Checkout,Returning
U001,2,Login,Cart,Checkout,Returning
U001,3,Cart,Cart,Checkout,Returning
U001,4,Login,Cart,Checkout,Returning
U001,5,Cart,Cart,Checkout,Returning
U001,6,Checkout,Cart,Checkout,Returning
U002,1,Login,Login,Cart,Returning
U002,2,Search,Login,Cart,Returning
U002,3,Help,Login,Cart,Returning
U002,4,Home,Login,Cart,Returning
U002,5,Cart,Login,Cart,Returning
U002,6,Product,Login,Cart,Returning
U002,7,Cart,Login,Cart,Returning
U003,1,Help,Help,Cart,Returning
U003,2,Help,Help,Cart,Returning
U003,3,Help,Help,Cart,Returning
U003,4,Product,Help,Cart,Returning
U003,5,Cart,Help,Cart,Returning
U004,1,Checkout,Checkout,Product,Returning
U004,2,Login,Checkout,Product,Returning
U004,3,Product,Checkout,Product,Returning
U004,4,Product,Checkout,Product,Returning
U004,5,Cart,Checkout,Product,Returning
U004,6,Product,Checkout,Product,Returning
U004,7,Product,Checkout,Product,Returning
U005,1,Cart,Cart,Cart,New
U005,2,Help,Cart,Cart,New
U005,3,Login,Cart,Cart,New
U005,4,Login,Cart,Cart,New
U005,5,Help,Cart,Cart,New
U005,6,Login,Cart,Cart,New
U005,7,Cart,Cart,Cart,New
U006,1,Help,Help,Product,New
U006,2,Checkout,Help,Product,New
U006,3,Checkout,Help,Product,New
U006,4,Product,Help,Product,New
U007,1,Checkout,Checkout,Cart,Returning
U007,2,Product,Checkout,Cart,Returning
U007,3,Home,Checkout,Cart,Returning
U007,4,Cart,Checkout,Cart,Returning
U007,5,Cart,Checkout,Cart,Returning
U008,1,Checkout,Checkout,Checkout,New
U008,2,Home,Checkout,Checkout,New
U008,3,Checkout,Checkout,Checkout,New
U008,4,Login,Checkout,Checkout,New
U008,5,Checkout,Checkout,Checkout,New
U009,1,Home,Home,Cart,Returning
U009,2,Login,Home,Cart,Returning
U009,3,Home,Home,Cart,Returning
U009,4,Home,Home,Cart,Returning
